# Per-triangle psi statistic data for n=7
# Format: triangle_index l1[0..n-1] l2[0..2n-1] | psi_dist (q:count pairs)
# Canonical triangles with level1 = (0,1,...,n-1) and boundary ordering
# Total triangles: 3098
# Each row: idx l1_data l2_data | q0:c0 q1:c1 ...
#
25 0 1 2 3 4 5 6 | 0 1 3 2 4 0 2 3 6 1 5 4 5 6 | 5:46 6:200 7:346 8:506 9:646 10:776 11:776 12:646 13:506 14:346 15:200 16:46 
26 0 1 2 3 4 5 6 | 0 1 3 2 4 0 2 3 6 4 5 1 5 6 | 5:42 6:183 7:352 8:493 9:669 10:781 11:781 12:669 13:493 14:352 15:183 16:42 
27 0 1 2 3 4 5 6 | 0 1 3 2 4 0 2 5 6 1 3 4 5 6 | 5:22 6:146 7:346 8:518 9:670 10:818 11:818 12:670 13:518 14:346 15:146 16:22 
28 0 1 2 3 4 5 6 | 0 1 3 2 4 0 2 5 6 1 4 3 5 6 | 5:10 6:109 7:368 8:515 9:677 10:841 11:841 12:677 13:515 14:368 15:109 16:10 
29 0 1 2 3 4 5 6 | 0 1 3 2 4 0 2 5 6 3 4 1 5 6 | 5:14 6:114 7:344 8:525 9:681 10:842 11:842 12:681 13:525 14:344 15:114 16:14 
30 0 1 2 3 4 5 6 | 0 1 3 2 4 0 5 1 2 3 4 5 6 6 | 4:9 5:77 6:209 7:360 8:511 9:643 10:711 11:711 12:643 13:511 14:360 15:209 16:77 17:9 
31 0 1 2 3 4 5 6 | 0 1 3 2 4 0 5 1 2 3 6 4 5 6 | 4:2 5:39 6:176 7:348 8:527 9:664 10:764 11:764 12:664 13:527 14:348 15:176 16:39 17:2 
32 0 1 2 3 4 5 6 | 0 1 3 2 4 0 5 1 2 4 6 3 5 6 | 5:34 6:165 7:349 8:526 9:678 10:768 11:768 12:678 13:526 14:349 15:165 16:34 
33 0 1 2 3 4 5 6 | 0 1 3 2 4 0 5 1 3 2 4 5 6 6 | 3:1 4:17 5:76 6:213 7:360 8:507 9:644 10:702 11:702 12:644 13:507 14:360 15:213 16:76 17:17 18:1 
34 0 1 2 3 4 5 6 | 0 1 3 2 4 0 5 1 3 2 6 4 5 6 | 4:5 5:53 6:168 7:354 8:519 9:669 10:752 11:752 12:669 13:519 14:354 15:168 16:53 17:5 
35 0 1 2 3 4 5 6 | 0 1 3 2 4 0 5 1 3 4 6 2 5 6 | 4:4 5:51 6:152 7:350 8:520 9:691 10:752 11:752 12:691 13:520 14:350 15:152 16:51 17:4 
36 0 1 2 3 4 5 6 | 0 1 3 2 4 0 5 1 6 2 3 4 5 6 | 5:19 6:108 7:336 8:529 9:702 10:826 11:826 12:702 13:529 14:336 15:108 16:19 
37 0 1 2 3 4 5 6 | 0 1 3 2 4 0 5 1 6 2 4 3 5 6 | 5:16 6:90 7:334 8:536 9:708 10:836 11:836 12:708 13:536 14:334 15:90 16:16 
38 0 1 2 3 4 5 6 | 0 1 3 2 4 0 5 1 6 3 4 2 5 6 | 5:19 6:95 7:313 8:545 9:712 10:836 11:836 12:712 13:545 14:313 15:95 16:19 
39 0 1 2 3 4 5 6 | 0 1 3 2 4 0 5 2 3 1 4 5 6 6 | 4:10 5:58 6:214 7:360 8:506 9:662 10:710 11:710 12:662 13:506 14:360 15:214 16:58 17:10 
40 0 1 2 3 4 5 6 | 0 1 3 2 4 0 5 2 3 1 6 4 5 6 | 4:2 5:34 6:162 7:342 8:536 9:678 10:766 11:766 12:678 13:536 14:342 15:162 16:34 17:2 
41 0 1 2 3 4 5 6 | 0 1 3 2 4 0 5 2 3 4 6 1 5 6 | 5:23 6:137 7:345 8:532 9:709 10:774 11:774 12:709 13:532 14:345 15:137 16:23 
42 0 1 2 3 4 5 6 | 0 1 3 2 4 0 5 2 6 1 3 4 5 6 | 5:10 6:84 7:316 8:548 9:720 10:842 11:842 12:720 13:548 14:316 15:84 16:10 
43 0 1 2 3 4 5 6 | 0 1 3 2 4 0 5 2 6 1 4 3 5 6 | 5:4 6:72 7:312 8:552 9:732 10:848 11:848 12:732 13:552 14:312 15:72 16:4 
44 0 1 2 3 4 5 6 | 0 1 3 2 4 0 5 2 6 3 4 1 5 6 | 5:5 6:61 7:281 8:571 9:746 10:856 11:856 12:746 13:571 14:281 15:61 16:5 
