# Per-triangle psi statistic data for n=5
# Format: triangle_index l1[0..n-1] l2[0..2n-1] | psi_dist (q:count pairs)
# Canonical triangles with level1 = (0,1,...,n-1) and boundary ordering
# Total triangles: 38
# Each row: idx l1_data l2_data | q0:c0 q1:c1 ...
#
0 0 1 2 3 4 | 0 0 1 1 2 2 3 3 4 4 | 0:1 1:4 2:9 3:15 4:20 5:22 6:20 7:15 8:9 9:4 10:1 
1 0 1 2 3 4 | 0 0 1 1 2 3 4 2 3 4 | 1:3 2:9 3:15 4:21 5:24 6:21 7:15 8:9 9:3 
2 0 1 2 3 4 | 0 0 1 2 3 1 2 3 4 4 | 1:3 2:9 3:15 4:21 5:24 6:21 7:15 8:9 9:3 
3 0 1 2 3 4 | 0 0 1 2 3 1 4 2 3 4 | 1:1 2:9 3:15 4:23 5:24 6:23 7:15 8:9 9:1 
4 0 1 2 3 4 | 0 0 1 2 3 2 4 1 3 4 | 2:8 3:16 4:24 5:24 6:24 7:16 8:8 
5 0 1 2 3 4 | 0 0 1 2 4 1 3 2 3 4 | 2:8 3:16 4:24 5:24 6:24 7:16 8:8 
6 0 1 2 3 4 | 0 0 1 2 4 2 3 1 3 4 | 2:6 3:18 4:24 5:24 6:24 7:18 8:6 
7 0 1 2 3 4 | 0 1 2 0 1 2 3 3 4 4 | 1:3 2:9 3:15 4:21 5:24 6:21 7:15 8:9 9:3 
8 0 1 2 3 4 | 0 1 2 0 1 3 4 2 3 4 | 2:8 3:17 4:20 5:30 6:20 7:17 8:8 
9 0 1 2 3 4 | 0 1 2 0 3 1 2 3 4 4 | 1:1 2:9 3:15 4:23 5:24 6:23 7:15 8:9 9:1 
10 0 1 2 3 4 | 0 1 2 0 3 1 4 2 3 4 | 2:5 3:18 4:23 5:28 6:23 7:18 8:5 
11 0 1 2 3 4 | 0 1 2 0 3 2 4 1 3 4 | 2:4 3:17 4:26 5:26 6:26 7:17 8:4 
12 0 1 2 3 4 | 0 1 2 0 4 1 3 2 3 4 | 2:2 3:20 4:22 5:32 6:22 7:20 8:2 
13 0 1 2 3 4 | 0 1 2 0 4 2 3 1 3 4 | 2:3 3:17 4:25 5:30 6:25 7:17 8:3 
14 0 1 2 3 4 | 0 1 2 1 3 0 2 3 4 4 | 2:8 3:16 4:24 5:24 6:24 7:16 8:8 
15 0 1 2 3 4 | 0 1 2 1 3 0 4 2 3 4 | 2:2 3:20 4:22 5:32 6:22 7:20 8:2 
16 0 1 2 3 4 | 0 1 2 1 3 2 4 0 3 4 | 3:18 4:28 5:28 6:28 7:18 
17 0 1 2 3 4 | 0 1 2 1 4 0 3 2 3 4 | 3:20 4:20 5:40 6:20 7:20 
18 0 1 2 3 4 | 0 1 2 1 4 2 3 0 3 4 | 3:16 4:26 5:36 6:26 7:16 
19 0 1 2 3 4 | 0 1 2 3 4 0 1 2 3 4 | 3:13 4:28 5:38 6:28 7:13 
20 0 1 2 3 4 | 0 1 2 3 4 0 2 1 3 4 | 3:9 4:34 5:34 6:34 7:9 
21 0 1 2 3 4 | 0 1 2 3 4 1 2 0 3 4 | 3:7 4:32 5:42 6:32 7:7 
22 0 1 2 3 4 | 0 1 3 0 2 1 2 3 4 4 | 2:8 3:16 4:24 5:24 6:24 7:16 8:8 
23 0 1 2 3 4 | 0 1 3 0 2 1 4 2 3 4 | 2:4 3:17 4:26 5:26 6:26 7:17 8:4 
24 0 1 2 3 4 | 0 1 3 0 2 2 4 1 3 4 | 2:3 3:16 4:29 5:24 6:29 7:16 8:3 
25 0 1 2 3 4 | 0 1 3 1 2 0 2 3 4 4 | 2:6 3:18 4:24 5:24 6:24 7:18 8:6 
26 0 1 2 3 4 | 0 1 3 1 2 0 4 2 3 4 | 2:3 3:17 4:25 5:30 6:25 7:17 8:3 
27 0 1 2 3 4 | 0 1 3 1 2 2 4 0 3 4 | 3:15 4:30 5:30 6:30 7:15 
28 0 1 2 3 4 | 0 1 3 2 4 0 1 2 3 4 | 3:9 4:34 5:34 6:34 7:9 
29 0 1 2 3 4 | 0 1 3 2 4 0 2 1 3 4 | 3:5 4:40 5:30 6:40 7:5 
30 0 1 2 3 4 | 0 1 3 2 4 1 2 0 3 4 | 4:40 5:40 6:40 
31 0 1 2 3 4 | 0 1 4 0 2 1 3 2 3 4 | 3:18 4:28 5:28 6:28 7:18 
32 0 1 2 3 4 | 0 1 4 0 2 2 3 1 3 4 | 3:15 4:30 5:30 6:30 7:15 
33 0 1 2 3 4 | 0 1 4 1 2 0 3 2 3 4 | 3:16 4:26 5:36 6:26 7:16 
34 0 1 2 3 4 | 0 1 4 1 2 2 3 0 3 4 | 3:10 4:30 5:40 6:30 7:10 
35 0 1 2 3 4 | 0 1 4 2 3 0 1 2 3 4 | 3:7 4:32 5:42 6:32 7:7 
36 0 1 2 3 4 | 0 1 4 2 3 0 2 1 3 4 | 4:40 5:40 6:40 
37 0 1 2 3 4 | 0 1 4 2 3 1 2 0 3 4 | 4:30 5:60 6:30 
