# Per-triangle psi statistic data for n=6
# Format: triangle_index l1[0..n-1] l2[0..2n-1] | psi_dist (q:count pairs)
# Canonical triangles with level1 = (0,1,...,n-1) and boundary ordering
# Total triangles: 295
# Each row: idx l1_data l2_data | q0:c0 q1:c1 ...
#
0 0 1 2 3 4 5 | 0 0 1 1 2 2 3 3 4 4 5 5 | 0:1 1:5 2:14 3:29 4:49 5:71 6:90 7:101 8:101 9:90 10:71 11:49 12:29 13:14 14:5 15:1 
1 0 1 2 3 4 5 | 0 0 1 1 2 2 3 4 5 3 4 5 | 1:3 2:12 3:27 4:48 5:72 6:93 7:105 8:105 9:93 10:72 11:48 12:27 13:12 14:3 
2 0 1 2 3 4 5 | 0 0 1 1 2 3 4 2 3 4 5 5 | 1:3 2:12 3:27 4:48 5:72 6:93 7:105 8:105 9:93 10:72 11:48 12:27 13:12 14:3 
3 0 1 2 3 4 5 | 0 0 1 1 2 3 4 2 5 3 4 5 | 1:1 2:10 3:25 4:48 5:72 6:95 7:109 8:109 9:95 10:72 11:48 12:25 13:10 14:1 
4 0 1 2 3 4 5 | 0 0 1 1 2 3 4 3 5 2 4 5 | 2:8 3:24 4:48 5:72 6:96 7:112 8:112 9:96 10:72 11:48 12:24 13:8 
5 0 1 2 3 4 5 | 0 0 1 1 2 3 5 2 4 3 4 5 | 2:8 3:24 4:48 5:72 6:96 7:112 8:112 9:96 10:72 11:48 12:24 13:8 
6 0 1 2 3 4 5 | 0 0 1 1 2 3 5 3 4 2 4 5 | 2:6 3:24 4:48 5:72 6:96 7:114 8:114 9:96 10:72 11:48 12:24 13:6 
7 0 1 2 3 4 5 | 0 0 1 2 3 1 2 3 4 4 5 5 | 1:3 2:12 3:27 4:48 5:72 6:93 7:105 8:105 9:93 10:72 11:48 12:27 13:12 14:3 
8 0 1 2 3 4 5 | 0 0 1 2 3 1 2 4 5 3 4 5 | 2:8 3:25 4:45 5:75 6:95 7:112 8:112 9:95 10:75 11:45 12:25 13:8 
9 0 1 2 3 4 5 | 0 0 1 2 3 1 4 2 3 4 5 5 | 1:1 2:10 3:25 4:48 5:72 6:95 7:109 8:109 9:95 10:72 11:48 12:25 13:10 14:1 
10 0 1 2 3 4 5 | 0 0 1 2 3 1 4 2 5 3 4 5 | 2:5 3:23 4:46 5:74 6:97 7:115 8:115 9:97 10:74 11:46 12:23 13:5 
11 0 1 2 3 4 5 | 0 0 1 2 3 1 4 3 5 2 4 5 | 2:4 3:21 4:47 5:73 6:99 7:116 8:116 9:99 10:73 11:47 12:21 13:4 
12 0 1 2 3 4 5 | 0 0 1 2 3 1 5 2 4 3 4 5 | 2:2 3:22 4:44 5:76 6:98 7:118 8:118 9:98 10:76 11:44 12:22 13:2 
13 0 1 2 3 4 5 | 0 0 1 2 3 1 5 3 4 2 4 5 | 2:3 3:20 4:45 5:75 6:100 7:117 8:117 9:100 10:75 11:45 12:20 13:3 
14 0 1 2 3 4 5 | 0 0 1 2 3 2 4 1 3 4 5 5 | 2:8 3:24 4:48 5:72 6:96 7:112 8:112 9:96 10:72 11:48 12:24 13:8 
